,ID,round,chef_order,chef_task,chef_left_ticks,sou_chef_order,sou_chef_task,sou_chef_left_ticks,server_order,server_task,server_left_ticks,ticks,order0_task0,order0_task1,order0_task2,order1_task0,order1_task1,order1_task2,order2_task0,order2_task1,order2_task2,order3_task0,order3_task1,order3_task2
23,R_1N9BntMC65Uo6Jd,round_1_states,3.0,2.0,5.0,,,,,,,23,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef
24,R_1N9BntMC65Uo6Jd,round_1_states,3.0,2.0,4.0,,,,,,,24,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef
25,R_1N9BntMC65Uo6Jd,round_1_states,3.0,2.0,3.0,,,,,,,25,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef
26,R_1N9BntMC65Uo6Jd,round_1_states,3.0,2.0,2.0,,,,,,,26,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,finished,chef
0,R_tEAxrJOsPTNSNz3,round_1_states,,,,,,,,,,0,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable,available,unavailable,unavailable
1,R_tEAxrJOsPTNSNz3,round_1_states,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,1,chef,unavailable,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
2,R_tEAxrJOsPTNSNz3,round_1_states,,,,1.0,0.0,1.0,2.0,0.0,2.0,2,finished,available,unavailable,sou_chef,unavailable,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
3,R_tEAxrJOsPTNSNz3,round_1_states,0.0,1.0,4.0,,,,2.0,0.0,1.0,3,finished,chef,unavailable,finished,available,unavailable,server,unavailable,unavailable,available,unavailable,unavailable
4,R_tEAxrJOsPTNSNz3,round_1_states,0.0,1.0,3.0,,,,,,,4,finished,chef,unavailable,finished,available,unavailable,finished,available,unavailable,available,unavailable,unavailable
5,R_tEAxrJOsPTNSNz3,round_1_states,0.0,1.0,2.0,1.0,1.0,8.0,,,,5,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
6,R_tEAxrJOsPTNSNz3,round_1_states,0.0,1.0,1.0,1.0,1.0,7.0,,,,6,finished,chef,unavailable,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
7,R_tEAxrJOsPTNSNz3,round_1_states,,,,1.0,1.0,6.0,,,,7,finished,finished,available,finished,sou_chef,unavailable,finished,available,unavailable,available,unavailable,unavailable
8,R_tEAxrJOsPTNSNz3,round_1_states,2.0,1.0,4.0,1.0,1.0,5.0,0.0,2.0,1.0,8,finished,finished,server,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
9,R_tEAxrJOsPTNSNz3,round_1_states,2.0,1.0,3.0,1.0,1.0,4.0,,,,9,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
10,R_tEAxrJOsPTNSNz3,round_1_states,2.0,1.0,2.0,1.0,1.0,3.0,,,,10,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
11,R_tEAxrJOsPTNSNz3,round_1_states,2.0,1.0,1.0,1.0,1.0,2.0,,,,11,finished,finished,finished,finished,sou_chef,unavailable,finished,chef,unavailable,available,unavailable,unavailable
